position_cat_shift,goals_conceded,shots,shots_on_target,goals_counter,long_balls,passes,touches,crosses,through_balls,corners,att_obox_goal,bookings,position_cat_ls
0.0,-3.0,9.0,16.0,4.0,-146.0,123.0,2110.0,10.0,-53.0,-10.0,-1.0,-24.0,2.0
0.0,4.0,22.0,0.0,-7.0,157.0,2627.0,3845.0,145.0,74.0,-7.0,1.0,7.0,2.0
0.0,12.0,93.0,25.0,2.0,36.0,-192.0,-291.0,0.0,13.0,39.0,0.0,9.0,2.0
0.0,-4.0,-9.0,-13.0,2.0,-103.0,-461.0,-2286.0,-3.0,-43.0,15.0,0.0,1.0,2.0
0.0,-5.0,-60.0,-17.0,-3.0,-184.0,692.0,78.0,-142.0,-5.0,-65.0,0.0,2.0,2.0
0.0,0.0,113.0,43.0,3.0,7.0,766.0,1148.0,112.0,-13.0,77.0,3.0,0.0,2.0
0.0,-1.0,-72.0,-11.0,-1.0,184.0,2472.0,3003.0,-141.0,-5.0,-6.0,1.0,-6.0,2.0
-1.0,11.0,-78.0,-30.0,2.0,324.0,508.0,-128.0,-158.0,15.0,-57.0,-4.0,12.0,2.0
0.0,5.0,8.0,9.0,-3.0,179.0,-862.0,-988.0,92.0,-7.0,24.0,-2.0,-19.0,3.0
1.0,-11.0,11.0,16.0,0.0,226.0,-361.0,-432.0,-15.0,-19.0,-22.0,-3.0,25.0,3.0
0.0,14.0,-143.0,-70.0,0.0,-242.0,-2837.0,-3011.0,-138.0,-13.0,-46.0,5.0,-20.0,2.0
0.0,0.0,18.0,12.0,3.0,97.0,756.0,2539.0,-46.0,-30.0,10.0,1.0,2.0,3.0
1.0,-26.0,42.0,-5.0,2.0,-14.0,3524.0,5047.0,-84.0,122.0,5.0,-3.0,-20.0,3.0
-1.0,12.0,-48.0,-5.0,-5.0,-193.0,405.0,-172.0,-38.0,-39.0,-11.0,3.0,6.0,2.0
1.0,-3.0,84.0,28.0,2.0,-45.0,-160.0,-1338.0,138.0,7.0,14.0,-2.0,6.0,3.0
0.0,8.0,-6.0,23.0,1.0,-55.0,1324.0,95.0,-216.0,-55.0,-4.0,-1.0,1.0,2.0
-1.0,9.0,-81.0,-35.0,-1.0,127.0,-729.0,-147.0,84.0,-24.0,-11.0,1.0,-3.0,2.0
-1.0,25.0,-29.0,-11.0,-1.0,49.0,-2266.0,-1973.0,-25.0,-8.0,18.0,2.0,8.0,3.0
-1.0,11.0,-88.0,-29.0,-4.0,-235.0,-78.0,-190.0,-177.0,-37.0,-36.0,1.0,-4.0,3.0
-1.0,-2.0,1.0,-1.0,0.0,545.0,-403.0,-521.0,-49.0,-1.0,9.0,-5.0,22.0,3.0
1.0,-19.0,66.0,42.0,3.0,-11.0,27.0,163.0,-150.0,32.0,-14.0,-5.0,-2.0,3.0
-1.0,27.0,-89.0,-34.0,-2.0,97.0,301.0,-659.0,-31.0,-29.0,0.0,6.0,22.0,1.0
1.0,-3.0,-10.0,4.0,3.0,-125.0,1529.0,1719.0,13.0,38.0,6.0,-2.0,-16.0,3.0
0.0,1.0,18.0,0.0,4.0,-39.0,-794.0,1707.0,-175.0,-96.0,-45.0,5.0,2.0,1.0
0.0,-1.0,50.0,10.0,-3.0,-47.0,3145.0,4018.0,89.0,135.0,32.0,-4.0,4.0,1.0
-1.0,8.0,-94.0,-35.0,0.0,-260.0,-930.0,-1171.0,-4.0,-50.0,-1.0,-4.0,10.0,1.0
0.0,9.0,-60.0,16.0,-1.0,-416.0,-1847.0,-3763.0,-193.0,6.0,-56.0,-3.0,5.0,2.0
0.0,-4.0,85.0,2.0,0.0,222.0,2069.0,1509.0,279.0,-43.0,97.0,2.0,-7.0,2.0
0.0,3.0,72.0,25.0,-2.0,-220.0,1005.0,1272.0,-309.0,-4.0,-25.0,5.0,-2.0,2.0
1.0,7.0,-88.0,26.0,8.0,-145.0,-203.0,450.0,-151.0,90.0,-60.0,7.0,-1.0,2.0
-1.0,-2.0,-61.0,-66.0,-7.0,256.0,-225.0,-819.0,-5.0,-88.0,-26.0,-11.0,14.0,1.0
